2025-07-02 11:28:17,050 - ModelingPipeline - INFO - 모델링 파이프라인이 초기화되었습니다.
2025-07-02 11:28:17,051 - ModelingPipeline - INFO - 실행 이름: default_modeling_run_20250702_112817
2025-07-02 11:28:17,051 - ModelingPipeline - INFO - 출력 경로: /Users/jojongho/KDT/P2_Default-invest/outputs/modeling_runs/default_modeling_run_20250702_112817
2025-07-02 11:28:17,051 - ModelingPipeline - INFO - === 모델링 파이프라인 시작 ===
2025-07-02 11:28:17,051 - ModelingPipeline - INFO - 데이터 로드 시작
2025-07-02 11:28:17,051 - ModelingPipeline - INFO - 오버라이드된 데이터 경로 사용: data/final
2025-07-02 11:28:17,122 - ModelingPipeline - INFO - Train: (10745, 33), 부실비율: 0.58%
2025-07-02 11:28:17,123 - ModelingPipeline - INFO - Validation: (4417, 33), 부실비율: 0.57%
2025-07-02 11:28:17,123 - ModelingPipeline - INFO - Test: (6438, 33), 부실비율: 0.50%
2025-07-02 11:28:17,123 - ModelingPipeline - INFO - 모든 모델 실행 시작
2025-07-02 11:28:17,123 - ModelingPipeline - INFO - 특성 선택 방법: LOGISTIC_REGRESSION_CV (NORMAL)
2025-07-02 11:28:19,819 - ModelingPipeline - INFO - 최적 C: 10.000000
2025-07-02 11:28:19,820 - ModelingPipeline - INFO - CV 점수: 0.1581 (±0.1652)
2025-07-02 11:28:19,824 - ModelingPipeline - INFO - 선택된 특성: 17/33
2025-07-02 11:28:19,825 - ModelingPipeline - INFO - 활성화된 데이터 타입: ['normal', 'smote', 'undersampling', 'combined']
2025-07-02 11:28:19,825 - ModelingPipeline - INFO - 활성화된 모델: ['logistic_regression', 'random_forest', 'xgboost']
2025-07-02 11:28:19,825 - ModelingPipeline - INFO - NORMAL 데이터 처리
2025-07-02 11:28:19,826 - ModelingPipeline - INFO - logistic_regression 최적화 시작 (NORMAL)
2025-07-02 11:28:19,826 - ModelingPipeline - INFO - Logistic Regression 클래스 불균형 가중치: class_weight=auto
2025-07-02 11:28:19,826 - ModelingPipeline - INFO - 최적화 메트릭: PRECISION
2025-07-02 11:28:19,835 - ModelingPipeline - WARNING - Fold 1 NORMAL 처리 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:19,835 - ModelingPipeline - ERROR - Fold 1 완전 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:19,842 - ModelingPipeline - WARNING - Fold 2 NORMAL 처리 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:19,842 - ModelingPipeline - ERROR - Fold 2 완전 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:19,850 - ModelingPipeline - WARNING - Fold 3 NORMAL 처리 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:19,850 - ModelingPipeline - ERROR - Fold 3 완전 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:19,851 - ModelingPipeline - INFO - Trial 1/20 - Current: 0.0000, Best: 0.0000
2025-07-02 11:28:19,859 - ModelingPipeline - WARNING - Fold 1 NORMAL 처리 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:19,859 - ModelingPipeline - ERROR - Fold 1 완전 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:19,867 - ModelingPipeline - WARNING - Fold 2 NORMAL 처리 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
